Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
audifonos-inalambricos-tws,Audífonos inalámbricos / TWS,"<p><strong>Audífonos inalámbricos / TWS</strong> es uno de los productos más buscados en la categoría de tecnología y gadgets en este momento.</p><p>Aprovecha la tendencia de <em>""audífonos inalámbricos""</em> (potencial de demanda 95/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Tecnología y gadgets,Tecnología y gadgets,"audífonos inalámbricos, Tecnología y gadgets, tendencia, coleccion:audifonos-inalambricos",FALSE,Title,Default Title,AUDIFONO-39998,shopify,100,deny,manual,208900.00,333900.00,TRUE,TRUE,,,Audífonos inalámbricos / TWS,Audífonos inalámbricos / TWS | Audífonos inalámbricos,Compra Audífonos inalámbricos / TWS en tendencia. Categoría 'Tecnología y gadgets' con buena traducción a producto físico y demanda visible (tráfico ~50.000+).,draft
smartwatch-economico,Smartwatch económico,"<p><strong>Smartwatch económico</strong> es uno de los productos más buscados en la categoría de tecnología y gadgets en este momento.</p><p>Aprovecha la tendencia de <em>""audífonos inalámbricos""</em> (potencial de demanda 95/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Tecnología y gadgets,Tecnología y gadgets,"audífonos inalámbricos, Tecnología y gadgets, tendencia, coleccion:audifonos-inalambricos",FALSE,Title,Default Title,AUDIFONO-85215,shopify,100,deny,manual,118900.00,189900.00,TRUE,TRUE,,,Smartwatch económico,Smartwatch económico | Audífonos inalámbricos,Compra Smartwatch económico en tendencia. Categoría 'Tecnología y gadgets' con buena traducción a producto físico y demanda visible (tráfico ~50.000+).,draft
cargadores-y-power-banks,Cargadores y power banks,"<p><strong>Cargadores y power banks</strong> es uno de los productos más buscados en la categoría de tecnología y gadgets en este momento.</p><p>Aprovecha la tendencia de <em>""audífonos inalámbricos""</em> (potencial de demanda 95/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Tecnología y gadgets,Tecnología y gadgets,"audífonos inalámbricos, Tecnología y gadgets, tendencia, coleccion:audifonos-inalambricos",FALSE,Title,Default Title,AUDIFONO-94019,shopify,100,deny,manual,54900.00,87900.00,TRUE,TRUE,,,Cargadores y power banks,Cargadores y power banks | Audífonos inalámbricos,Compra Cargadores y power banks en tendencia. Categoría 'Tecnología y gadgets' con buena traducción a producto físico y demanda visible (tráfico ~50.000+).,draft
soportes-y-accesorios-para-celular,Soportes y accesorios para celular,"<p><strong>Soportes y accesorios para celular</strong> es uno de los productos más buscados en la categoría de tecnología y gadgets en este momento.</p><p>Aprovecha la tendencia de <em>""audífonos inalámbricos""</em> (potencial de demanda 95/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Tecnología y gadgets,Tecnología y gadgets,"audífonos inalámbricos, Tecnología y gadgets, tendencia, coleccion:audifonos-inalambricos",FALSE,Title,Default Title,AUDIFONO-86512,shopify,100,deny,manual,255900.00,408900.00,TRUE,TRUE,,,Soportes y accesorios para celular,Soportes y accesorios para celular | Audífonos inalámbricos,Compra Soportes y accesorios para celular en tendencia. Categoría 'Tecnología y gadgets' con buena traducción a producto físico y demanda visible (tráfico ~50.000+).,draft
mini-proyectores-y-parlantes-bluetooth,Mini proyectores y parlantes bluetooth,"<p><strong>Mini proyectores y parlantes bluetooth</strong> es uno de los productos más buscados en la categoría de tecnología y gadgets en este momento.</p><p>Aprovecha la tendencia de <em>""audífonos inalámbricos""</em> (potencial de demanda 95/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Tecnología y gadgets,Tecnología y gadgets,"audífonos inalámbricos, Tecnología y gadgets, tendencia, coleccion:audifonos-inalambricos",FALSE,Title,Default Title,AUDIFONO-05542,shopify,100,deny,manual,250900.00,400900.00,TRUE,TRUE,,,Mini proyectores y parlantes bluetooth,Mini proyectores y parlantes bluetooth | Audífonos inalámbricos,Compra Mini proyectores y parlantes bluetooth en tendencia. Categoría 'Tecnología y gadgets' con buena traducción a producto físico y demanda visible (tráfico ~50.000+).,draft
rizadores-alisadores-de-cabello,Rizadores / alisadores de cabello,"<p><strong>Rizadores / alisadores de cabello</strong> es uno de los productos más buscados en la categoría de belleza y cuidado personal en este momento.</p><p>Aprovecha la tendencia de <em>""serum facial vitamina c""</em> (potencial de demanda 88/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Belleza y cuidado personal,Belleza y cuidado personal,"serum facial vitamina c, Belleza y cuidado personal, tendencia, coleccion:serum-facial-vitamina-c",FALSE,Title,Default Title,SERUM-FA-85509,shopify,100,deny,manual,45900.00,72900.00,TRUE,TRUE,,,Rizadores / alisadores de cabello,Rizadores / alisadores de cabello | Serum facial vitamina c,Compra Rizadores / alisadores de cabello en tendencia. Categoría 'Belleza y cuidado personal' con buena traducción a producto físico y demanda visible (tráfico ~10.000+).,draft
sets-de-skincare-y-serums,Sets de skincare y serums,"<p><strong>Sets de skincare y serums</strong> es uno de los productos más buscados en la categoría de belleza y cuidado personal en este momento.</p><p>Aprovecha la tendencia de <em>""serum facial vitamina c""</em> (potencial de demanda 88/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Belleza y cuidado personal,Belleza y cuidado personal,"serum facial vitamina c, Belleza y cuidado personal, tendencia, coleccion:serum-facial-vitamina-c",FALSE,Title,Default Title,SERUM-FA-78331,shopify,100,deny,manual,56900.00,90900.00,TRUE,TRUE,,,Sets de skincare y serums,Sets de skincare y serums | Serum facial vitamina c,Compra Sets de skincare y serums en tendencia. Categoría 'Belleza y cuidado personal' con buena traducción a producto físico y demanda visible (tráfico ~10.000+).,draft
organizadores-de-maquillaje,Organizadores de maquillaje,"<p><strong>Organizadores de maquillaje</strong> es uno de los productos más buscados en la categoría de belleza y cuidado personal en este momento.</p><p>Aprovecha la tendencia de <em>""serum facial vitamina c""</em> (potencial de demanda 88/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Belleza y cuidado personal,Belleza y cuidado personal,"serum facial vitamina c, Belleza y cuidado personal, tendencia, coleccion:serum-facial-vitamina-c",FALSE,Title,Default Title,SERUM-FA-93787,shopify,100,deny,manual,64900.00,103900.00,TRUE,TRUE,,,Organizadores de maquillaje,Organizadores de maquillaje | Serum facial vitamina c,Compra Organizadores de maquillaje en tendencia. Categoría 'Belleza y cuidado personal' con buena traducción a producto físico y demanda visible (tráfico ~10.000+).,draft
dispositivos-de-limpieza-facial,Dispositivos de limpieza facial,"<p><strong>Dispositivos de limpieza facial</strong> es uno de los productos más buscados en la categoría de belleza y cuidado personal en este momento.</p><p>Aprovecha la tendencia de <em>""serum facial vitamina c""</em> (potencial de demanda 88/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Belleza y cuidado personal,Belleza y cuidado personal,"serum facial vitamina c, Belleza y cuidado personal, tendencia, coleccion:serum-facial-vitamina-c",FALSE,Title,Default Title,SERUM-FA-45481,shopify,100,deny,manual,70900.00,112900.00,TRUE,TRUE,,,Dispositivos de limpieza facial,Dispositivos de limpieza facial | Serum facial vitamina c,Compra Dispositivos de limpieza facial en tendencia. Categoría 'Belleza y cuidado personal' con buena traducción a producto físico y demanda visible (tráfico ~10.000+).,draft
kits-de-manicura,Kits de manicura,"<p><strong>Kits de manicura</strong> es uno de los productos más buscados en la categoría de belleza y cuidado personal en este momento.</p><p>Aprovecha la tendencia de <em>""serum facial vitamina c""</em> (potencial de demanda 88/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Belleza y cuidado personal,Belleza y cuidado personal,"serum facial vitamina c, Belleza y cuidado personal, tendencia, coleccion:serum-facial-vitamina-c",FALSE,Title,Default Title,SERUM-FA-47451,shopify,100,deny,manual,68900.00,109900.00,TRUE,TRUE,,,Kits de manicura,Kits de manicura | Serum facial vitamina c,Compra Kits de manicura en tendencia. Categoría 'Belleza y cuidado personal' con buena traducción a producto físico y demanda visible (tráfico ~10.000+).,draft
freidoras-de-aire-y-accesorios,Freidoras de aire y accesorios,"<p><strong>Freidoras de aire y accesorios</strong> es uno de los productos más buscados en la categoría de hogar y cocina en este momento.</p><p>Aprovecha la tendencia de <em>""freidora de aire""</em> (potencial de demanda 82/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Hogar y cocina,Hogar y cocina,"freidora de aire, Hogar y cocina, tendencia, coleccion:freidora-de-aire",FALSE,Title,Default Title,FREIDORA-97498,shopify,100,deny,manual,53900.00,85900.00,TRUE,TRUE,,,Freidoras de aire y accesorios,Freidoras de aire y accesorios | Freidora de aire,Compra Freidoras de aire y accesorios en tendencia. Categoría 'Hogar y cocina' con buena traducción a producto físico y demanda visible (tráfico ~20.000+).,draft
organizadores-de-cocina-y-closet,Organizadores de cocina y closet,"<p><strong>Organizadores de cocina y closet</strong> es uno de los productos más buscados en la categoría de hogar y cocina en este momento.</p><p>Aprovecha la tendencia de <em>""freidora de aire""</em> (potencial de demanda 82/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Hogar y cocina,Hogar y cocina,"freidora de aire, Hogar y cocina, tendencia, coleccion:freidora-de-aire",FALSE,Title,Default Title,FREIDORA-36244,shopify,100,deny,manual,43900.00,69900.00,TRUE,TRUE,,,Organizadores de cocina y closet,Organizadores de cocina y closet | Freidora de aire,Compra Organizadores de cocina y closet en tendencia. Categoría 'Hogar y cocina' con buena traducción a producto físico y demanda visible (tráfico ~20.000+).,draft
lamparas-led-decorativas,Lámparas LED decorativas,"<p><strong>Lámparas LED decorativas</strong> es uno de los productos más buscados en la categoría de hogar y cocina en este momento.</p><p>Aprovecha la tendencia de <em>""freidora de aire""</em> (potencial de demanda 82/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Hogar y cocina,Hogar y cocina,"freidora de aire, Hogar y cocina, tendencia, coleccion:freidora-de-aire",FALSE,Title,Default Title,FREIDORA-60866,shopify,100,deny,manual,292900.00,468900.00,TRUE,TRUE,,,Lámparas LED decorativas,Lámparas LED decorativas | Freidora de aire,Compra Lámparas LED decorativas en tendencia. Categoría 'Hogar y cocina' con buena traducción a producto físico y demanda visible (tráfico ~20.000+).,draft
gadgets-de-limpieza-para-el-hogar,Gadgets de limpieza para el hogar,"<p><strong>Gadgets de limpieza para el hogar</strong> es uno de los productos más buscados en la categoría de hogar y cocina en este momento.</p><p>Aprovecha la tendencia de <em>""freidora de aire""</em> (potencial de demanda 82/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Hogar y cocina,Hogar y cocina,"freidora de aire, Hogar y cocina, tendencia, coleccion:freidora-de-aire",FALSE,Title,Default Title,FREIDORA-66384,shopify,100,deny,manual,89900.00,143900.00,TRUE,TRUE,,,Gadgets de limpieza para el hogar,Gadgets de limpieza para el hogar | Freidora de aire,Compra Gadgets de limpieza para el hogar en tendencia. Categoría 'Hogar y cocina' con buena traducción a producto físico y demanda visible (tráfico ~20.000+).,draft
textiles-sabanas-cojines,Textiles: sábanas / cojines,"<p><strong>Textiles: sábanas / cojines</strong> es uno de los productos más buscados en la categoría de hogar y cocina en este momento.</p><p>Aprovecha la tendencia de <em>""freidora de aire""</em> (potencial de demanda 82/100). Envío a todo el país y pago contra entrega disponible.</p><ul><li>Producto en tendencia</li><li>Stock listo para despacho</li><li>Garantía de satisfacción</li></ul>",Tendencias CO,Hogar y cocina,Hogar y cocina,"freidora de aire, Hogar y cocina, tendencia, coleccion:freidora-de-aire",FALSE,Title,Default Title,FREIDORA-84364,shopify,100,deny,manual,187900.00,300900.00,TRUE,TRUE,,,Textiles: sábanas / cojines,Textiles: sábanas / cojines | Freidora de aire,Compra Textiles: sábanas / cojines en tendencia. Categoría 'Hogar y cocina' con buena traducción a producto físico y demanda visible (tráfico ~20.000+).,draft
